mount,orient,d_set_m,scan,d_m,px,py,lx,ly,lz,stamp,n_new,best_all,best_ns,best_rings,best_ring_list,near_n,near_rings,near_d_m,nearxy_n,nearxy_rings,nearxy_d_m,alarm_m3,alarm_m5,alarm_m10,alarm_m20,alarm_xy5,cand_m3,cand_m5,cand_m10,cand_m20,cand_xy5,best
lk0,toward,25.0,0,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.3,9,9,9,2,7 8,4,1,0.04,9,2,0.095,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,25.0,1,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.4,9,9,9,2,7 8,4,1,0.032,9,2,0.083,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,2,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.5,9,9,9,2,7 8,4,1,0.047,9,2,0.084,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,3,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.6,9,9,9,2,7 8,4,1,0.051,9,2,0.084,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,4,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.7,9,9,9,2,7 8,4,1,0.047,9,2,0.09,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,5,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.8,9,9,9,2,7 8,4,1,0.05,9,2,0.082,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,6,25.0,0.001,-84.986,0.0,-59.9855,0.8481,73.9,9,9,9,2,7 8,4,1,0.019,9,2,0.088,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,7,25.0,0.001,-84.986,0.0,-59.9855,0.8481,74.0,9,9,9,2,7 8,4,1,0.038,9,2,0.082,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,8,25.0,0.001,-84.986,0.0,-59.9855,0.8481,74.1,9,9,9,2,7 8,4,1,0.029,9,2,0.088,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,25.0,9,25.0,0.001,-84.986,0.0,-59.9855,0.8481,74.2,9,9,9,2,7 8,4,1,0.06,9,2,0.097,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,0,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.3,7,7,7,2,7 8,3,1,0.099,7,2,0.107,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,27.5,1,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.4,7,7,7,2,7 8,3,1,0.075,7,2,0.086,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,2,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.5,7,7,7,2,7 8,3,1,0.078,7,2,0.09,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,3,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.6,7,7,7,2,7 8,4,1,0.099,7,2,0.097,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,4,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.7,7,7,7,2,7 8,3,1,0.081,7,2,0.103,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,5,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.8,7,7,7,2,7 8,3,1,0.079,7,2,0.105,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,6,27.5,0.001,-87.486,0.0,-59.9855,0.8481,74.9,7,7,7,2,7 8,3,1,0.089,7,2,0.098,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,7,27.5,0.001,-87.486,0.0,-59.9855,0.8481,75.0,7,7,7,2,7 8,3,1,0.087,7,2,0.113,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,27.5,8,27.5,0.001,-87.486,0.0,-59.9855,0.8481,75.1,7,7,7,2,7 8,3,1,0.097,7,2,0.11,0,0,0,0,1,0,0,0,0,1,1
